,Unnamed: 0,description,food_class,food_category,serving_size,serving_size_unit,calories_serving_size,calories_100g,calories_unit,protein_serving_size,protein_100g,protein_unit,fat_serving_size,fat_100g,fat_unit,sugar_serving_size,sugar_100g,sugar_unit,sodium_serving_size,sodium_100g,sodium_unit,cholesterol_serving_size,cholesterol_100g,cholesterol_unit,carbohydrates_serving_size,carbohydrates_100g,carbohydrates_unit,fiber_serving_size,fiber_100g,fiber_unit,protein_calories,fat_calories,carb_calories
57,0,"Yogurt, low fat milk, fruit",Survey,"Yogurt, regular",100,g,,89.0,kcal,,4.66,g,,0.039,g,,12.0,g,,65.0,mg,,5.0,mg,,14.5,g,,0.1,g,18.64,0.351,58.0
58,0,"Yogurt, nonfat milk, fruit",Survey,"Yogurt, regular",100,g,,83.0,kcal,,5.09,g,,0.004,g,,12.6,g,,72.0,mg,,2.0,mg,,15.0,g,,0.1,g,20.36,0.036,60.0
59,0,"Yogurt, Greek, NS as to type of milk, fruit",Survey,"Yogurt, Greek",100,g,,105.0,kcal,,8.17,g,,0.113,g,,11.2,g,,33.0,mg,,12.0,mg,,12.3,g,,1.0,g,32.68,1.017,49.2
60,0,"Yogurt, Greek, whole milk, fruit",Survey,"Yogurt, Greek",100,g,,106.0,kcal,,7.33,g,,0.219,g,,12.0,g,,37.0,mg,,10.0,mg,,12.3,g,,0.0,g,29.32,1.971,49.2
61,0,"Yogurt, Greek, low fat milk, fruit",Survey,"Yogurt, Greek",100,g,,105.0,kcal,,8.17,g,,0.113,g,,11.2,g,,33.0,mg,,12.0,mg,,12.3,g,,1.0,g,32.68,1.017,49.2
62,0,"Yogurt, Greek, nonfat milk, fruit",Survey,"Yogurt, Greek",100,g,,83.0,kcal,,8.06,g,,0.021,g,,11.5,g,,32.0,mg,,4.0,mg,,12.2,g,,0.6,g,32.24,0.189,48.8
63,0,"Yogurt, NS as to type of milk, flavors other than fruit",Survey,"Yogurt, regular",100,g,,73.0,kcal,,5.09,g,,0.043,g,,9.82,g,,68.0,mg,,6.0,mg,,9.82,g,,0.0,g,20.36,0.387,39.28
64,0,"Yogurt, whole milk, flavors other than fruit",Survey,"Yogurt, regular",100,g,,77.0,kcal,,3.3,g,,0.087,g,,9.42,g,,44.0,mg,,12.0,mg,,9.41,g,,0.0,g,13.2,0.783,37.64
65,0,"Yogurt, low fat milk, flavors other than fruit",Survey,"Yogurt, regular",100,g,,73.0,kcal,,5.09,g,,0.043,g,,9.82,g,,68.0,mg,,6.0,mg,,9.82,g,,0.0,g,20.36,0.387,39.28
66,0,"Yogurt, nonfat milk, flavors other than fruit",Survey,"Yogurt, regular",100,g,,66.0,kcal,,5.5600000000000005,g,,0.005,g,,10.4,g,,75.0,mg,,2.0,mg,,10.4,g,,0.0,g,22.24,0.045,41.6
67,0,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Survey,"Yogurt, Greek",100,g,,95.0,kcal,,8.64,g,,0.203,g,,9.54,g,,40.0,mg,,5.0,mg,,9.54,g,,0.0,g,34.56,1.827,38.16
68,0,"Yogurt, Greek, whole milk, flavors other than fruit",Survey,"Yogurt, Greek",100,g,,111.0,kcal,,8.47,g,,0.273,g,,9.35,g,,39.0,mg,,10.0,mg,,9.35,g,,0.0,g,33.88,2.4570000000000003,37.4
69,0,"Yogurt, Greek, low fat milk, flavors other than fruit",Survey,"Yogurt, Greek",100,g,,95.0,kcal,,8.64,g,,0.203,g,,9.54,g,,40.0,mg,,5.0,mg,,9.54,g,,0.0,g,34.56,1.827,38.16
70,0,"Yogurt, Greek, nonfat milk, flavors other than fruit",Survey,"Yogurt, Greek",100,g,,78.0,kcal,,8.64,g,,0.009,g,,9.54,g,,34.0,mg,,3.0,mg,,10.4,g,,0.5,g,34.56,0.081,41.6
71,0,"Yogurt, Greek, with oats",Survey,"Yogurt, Greek",100,g,,160.0,kcal,,8.9,g,,0.915,g,,12.1,g,,53.0,mg,,4.0,mg,,22.4,g,,1.9,g,35.6,8.235,89.6
72,0,"Yogurt, liquid",Survey,"Yogurt, regular",100,g,,72.0,kcal,,3.71,g,,0.031,g,,9.78,g,,53.0,mg,,4.0,mg,,11.8,g,,0.1,g,14.84,0.279,47.2
73,0,"Chipotle dip, yogurt based",Survey,"Dips, gravies, other sauces",100,g,,189.0,kcal,,7.93,g,,8.72,g,,2.97,g,,636.0,mg,,16.0,mg,,3.33,g,,0.0,g,31.72,78.48,13.32
74,0,"Dill dip, yogurt based",Survey,"Dips, gravies, other sauces",100,g,,191.0,kcal,,8.16,g,,8.74,g,,2.99,g,,641.0,mg,,16.0,mg,,3.76,g,,0.3,g,32.64,78.66,15.04
75,0,"Onion dip, yogurt based",Survey,"Dips, gravies, other sauces",100,g,,159.0,kcal,,6.82,g,,6.86,g,,3.38,g,,507.0,mg,,14.0,mg,,4.07,g,,0.2,g,27.28,61.74,16.28
76,0,"Ranch dip, yogurt based",Survey,"Dips, gravies, other sauces",100,g,,195.0,kcal,,8.48,g,,8.74,g,,3.41,g,,646.0,mg,,17.0,mg,,4.13,g,,0.3,g,33.92,78.66,16.52
77,0,"Spinach dip, yogurt based",Survey,"Dips, gravies, other sauces",100,g,,158.0,kcal,,7.02,g,,6.89,g,,3.04,g,,514.0,mg,,14.0,mg,,3.6,g,,0.3,g,28.08,62.01,14.4
78,0,Tzatziki dip,Survey,"Dips, gravies, other sauces",100,g,,92.0,kcal,,5.35,g,,0.641,g,,2.92,g,,307.0,mg,,7.0,mg,,3.95,g,,0.2,g,21.4,5.769,15.8
79,0,"Vegetable dip, yogurt based",Survey,"Dips, gravies, other sauces",100,g,,191.0,kcal,,8.16,g,,8.74,g,,2.99,g,,641.0,mg,,16.0,mg,,3.76,g,,0.3,g,32.64,78.66,15.04
80,0,"Yogurt parfait, low fat, with fruit",Survey,"Yogurt, regular",100,g,,84.0,kcal,,3.36,g,,0.122,g,,11.7,g,,49.0,mg,,3.0,mg,,15.9,g,,1.1,g,13.44,1.098,63.6
81,0,"Frozen yogurt, NFS",Survey,Ice cream and frozen dairy desserts,100,g,,127.0,kcal,,3.0,g,,0.1,g,,19.9,g,,63.0,mg,,13.0,mg,,21.6,g,,0.0,g,12.0,0.9,86.4
82,0,"Frozen yogurt, vanilla",Survey,Ice cream and frozen dairy desserts,100,g,,127.0,kcal,,3.0,g,,0.1,g,,19.9,g,,63.0,mg,,13.0,mg,,21.6,g,,0.0,g,12.0,0.9,86.4
83,0,"Frozen yogurt, chocolate",Survey,Ice cream and frozen dairy desserts,100,g,,131.0,kcal,,3.0,g,,0.102,g,,19.2,g,,63.0,mg,,13.0,mg,,21.6,g,,2.3,g,12.0,0.918,86.4
84,0,"Frozen yogurt, soft serve, vanilla",Survey,Ice cream and frozen dairy desserts,100,g,,159.0,kcal,,4.0,g,,0.21,g,,24.0,g,,87.0,mg,,2.0,mg,,24.2,g,,0.0,g,16.0,1.89,96.8
85,0,"Frozen yogurt, soft serve, chocolate",Survey,Ice cream and frozen dairy desserts,100,g,,160.0,kcal,,4.31,g,,0.215,g,,23.6,g,,86.0,mg,,2.0,mg,,24.9,g,,0.7000000000000001,g,17.24,1.935,99.6
86,0,Frozen yogurt sandwich,Survey,Ice cream and frozen dairy desserts,100,g,,204.0,kcal,,3.9,g,,1.11,g,,24.3,g,,192.0,mg,,10.0,mg,,34.4,g,,0.8,g,15.6,9.99,137.6
87,0,"Frozen yogurt bar, vanilla",Survey,Ice cream and frozen dairy desserts,100,g,,127.0,kcal,,3.0,g,,0.1,g,,19.9,g,,63.0,mg,,13.0,mg,,21.6,g,,0.0,g,12.0,0.9,86.4
88,0,"Frozen yogurt bar, chocolate",Survey,Ice cream and frozen dairy desserts,100,g,,131.0,kcal,,3.0,g,,0.102,g,,19.2,g,,63.0,mg,,13.0,mg,,21.6,g,,2.3,g,12.0,0.918,86.4
89,0,"Frozen yogurt cone, chocolate",Survey,Ice cream and frozen dairy desserts,100,g,,142.0,kcal,,3.2,g,,0.228,g,,18.7,g,,71.0,mg,,12.0,mg,,23.9,g,,2.3,g,12.8,2.052,95.6
90,0,"Frozen yogurt cone, vanilla",Survey,Ice cream and frozen dairy desserts,100,g,,139.0,kcal,,3.2,g,,0.227,g,,19.4,g,,71.0,mg,,12.0,mg,,23.9,g,,0.1,g,12.8,2.043,95.6
91,0,"Frozen yogurt cone, vanilla, waffle cone",Survey,Ice cream and frozen dairy desserts,100,g,,143.0,kcal,,3.29,g,,0.18,g,,20.3,g,,77.0,mg,,12.0,mg,,25.3,g,,0.1,g,13.16,1.62,101.2
92,0,"Frozen yogurt cone, chocolate, waffle cone",Survey,Ice cream and frozen dairy desserts,100,g,,147.0,kcal,,3.29,g,,0.181,g,,19.6,g,,77.0,mg,,12.0,mg,,25.3,g,,2.3,g,13.16,1.629,101.2
93,0,"Yogurt, whole milk, baby food",Survey,Baby food: yogurt,100,g,,61.0,kcal,,3.47,g,,0.092,g,,4.66,g,,46.0,mg,,13.0,mg,,4.66,g,,0.0,g,13.88,0.828,18.64
94,0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",Survey,Baby food: yogurt,100,g,,98.0,kcal,,3.4,g,,0.367,g,,11.5,g,,41.0,mg,,14.0,mg,,13.2,g,,0.3,g,13.6,3.303,52.8
95,0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",Survey,Baby food: yogurt,100,g,,92.0,kcal,,3.05,g,,0.405,g,,11.5,g,,38.0,mg,,10.0,mg,,13.0,g,,0.6,g,12.2,3.645000000000001,52.0
96,0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",Survey,Baby food: yogurt,100,g,,98.0,kcal,,3.4,g,,0.367,g,,11.5,g,,41.0,mg,,14.0,mg,,13.2,g,,0.3,g,13.6,3.303,52.8
97,0,"Chocolate milk, NFS",Survey,"Flavored milk, nonfat",100,g,,67.0,kcal,,3.39,g,,0.0,g,,8.39,g,,79.0,mg,,2.0,mg,,13.5,g,,0.0,g,13.56,0.0,54.0
98,0,"Chocolate milk, ready to drink, whole",Survey,"Flavored milk, whole",100,g,,83.0,kcal,,3.17,g,,0.124,g,,9.54,g,,60.0,mg,,12.0,mg,,10.3,g,,0.8,g,12.68,1.116,41.2
99,0,"Chocolate milk, ready to drink, reduced fat",Survey,"Flavored milk, reduced fat",100,g,,76.0,kcal,,2.99,g,,0.089,g,,9.55,g,,66.0,mg,,8.0,mg,,12.1,g,,0.7000000000000001,g,11.96,0.8009999999999999,48.4
100,0,"Chocolate milk, ready to drink, fat free",Survey,"Flavored milk, nonfat",100,g,,67.0,kcal,,3.39,g,,0.0,g,,8.39,g,,79.0,mg,,2.0,mg,,13.5,g,,0.0,g,13.56,0.0,54.0
101,0,"Chocolate milk, ready to drink, low fat",Survey,"Flavored milk, lowfat",100,g,,64.0,kcal,,3.46,g,,0.049,g,,9.94,g,,65.0,mg,,5.0,mg,,10.2,g,,0.1,g,13.84,0.441,40.8
102,0,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",Survey,"Flavored milk, lowfat",100,g,,57.0,kcal,,3.43,g,,0.054,g,,7.29,g,,66.0,mg,,5.0,mg,,7.68,g,,0.0,g,13.72,0.486,30.72
103,0,"Chocolate milk, ready to drink, low fat (Nesquik)",Survey,"Flavored milk, lowfat",100,g,,64.0,kcal,,3.46,g,,0.049,g,,9.94,g,,65.0,mg,,5.0,mg,,10.2,g,,0.1,g,13.84,0.441,40.8
104,0,"Chocolate milk, ready to drink, fat free (Nesquik)",Survey,"Flavored milk, nonfat",100,g,,67.0,kcal,,3.39,g,,0.0,g,,8.39,g,,79.0,mg,,2.0,mg,,13.5,g,,0.0,g,13.56,0.0,54.0
105,0,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",Survey,"Flavored milk, lowfat",100,g,,64.0,kcal,,3.46,g,,0.049,g,,9.94,g,,65.0,mg,,5.0,mg,,10.2,g,,0.1,g,13.84,0.441,40.8
106,0,"Hot chocolate / Cocoa, ready to drink",Survey,"Flavored milk, reduced fat",100,g,,91.0,kcal,,2.72,g,,0.047,g,,15.2,g,,60.0,mg,,7.0,mg,,16.5,g,,0.0,g,10.88,0.423,66.0
107,0,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",Survey,"Flavored milk, nonfat",100,g,,78.0,kcal,,2.79,g,,0.005,g,,15.3,g,,61.0,mg,,2.0,mg,,16.5,g,,0.0,g,11.16,0.045,66.0
